seeds: [862559, 454354, 737532, 275105, 523498], arguments: (env_name='pong', lr=0.0002, epoch=1500, batch_size=32, eval_cycle=25, transitions=2500, episodes=2500, VQVAE_cycle=1, MDP_cycle=750, max_iterations=375, initial_iterations=12000, warmup=25000, min_visits=5, num_envs=6, debug=False)
Epoch: 0, Duration: 98.0464, Steps done w/o warmup: 2502, Epsilon: 98.43%, Codebook usage: 11 / 16, Transitions known: 8.93%, Usage penalty: 13.752925872802734, Entropy bonus: -0.35178646445274353
Epoch: 1, Duration: 14.8774, Steps done w/o warmup: 5004, Epsilon: 96.89%, Codebook usage: 13 / 16, Transitions known: 16.07%, Usage penalty: 12.029752731323242, Entropy bonus: -0.3651157021522522
Epoch: 2, Duration: 16.2224, Steps done w/o warmup: 7506, Epsilon: 95.37%, Codebook usage: 13 / 16, Transitions known: 17.86%, Usage penalty: 8.809006690979004, Entropy bonus: -0.36225882172584534
Epoch: 3, Duration: 15.6609, Steps done w/o warmup: 10008, Epsilon: 93.87%, Codebook usage: 13 / 16, Transitions known: 21.43%, Usage penalty: 8.719255447387695, Entropy bonus: -0.36143752932548523
Epoch: 4, Duration: 15.9335, Steps done w/o warmup: 12510, Epsilon: 92.40%, Codebook usage: 15 / 16, Transitions known: 21.43%, Usage penalty: 10.235612869262695, Entropy bonus: -0.3377353250980377
Epoch: 5, Duration: 18.0577, Steps done w/o warmup: 15012, Epsilon: 90.96%, Codebook usage: 15 / 16, Transitions known: 21.43%, Usage penalty: 6.833848476409912, Entropy bonus: -0.38664108514785767
Epoch: 6, Duration: 18.9287, Steps done w/o warmup: 17514, Epsilon: 89.53%, Codebook usage: 14 / 16, Transitions known: 23.21%, Usage penalty: 7.099989414215088, Entropy bonus: -0.3696223795413971
Epoch: 7, Duration: 21.6621, Steps done w/o warmup: 20016, Epsilon: 88.14%, Codebook usage: 13 / 16, Transitions known: 25.00%, Usage penalty: 6.991591453552246, Entropy bonus: -0.3795771300792694
Epoch: 8, Duration: 19.0174, Steps done w/o warmup: 22518, Epsilon: 86.76%, Codebook usage: 14 / 16, Transitions known: 26.79%, Usage penalty: 7.018433570861816, Entropy bonus: -0.3951782286167145
Epoch: 9, Duration: 22.2030, Steps done w/o warmup: 25020, Epsilon: 85.41%, Codebook usage: 13 / 16, Transitions known: 26.79%, Usage penalty: 7.2497639656066895, Entropy bonus: -0.372195303440094
Epoch: 10, Duration: 20.2522, Steps done w/o warmup: 27522, Epsilon: 84.08%, Codebook usage: 13 / 16, Transitions known: 26.32%, Usage penalty: 7.134148120880127, Entropy bonus: -0.37604212760925293
Epoch: 11, Duration: 18.2093, Steps done w/o warmup: 30024, Epsilon: 82.77%, Codebook usage: 14 / 16, Transitions known: 26.32%, Usage penalty: 7.558595180511475, Entropy bonus: -0.3644217550754547
Epoch: 12, Duration: 18.9337, Steps done w/o warmup: 32526, Epsilon: 81.48%, Codebook usage: 13 / 16, Transitions known: 26.32%, Usage penalty: 8.812729835510254, Entropy bonus: -0.36705970764160156
Epoch: 13, Duration: 20.0158, Steps done w/o warmup: 35028, Epsilon: 80.22%, Codebook usage: 13 / 16, Transitions known: 26.32%, Usage penalty: 8.790423393249512, Entropy bonus: -0.3647923171520233
Epoch: 14, Duration: 18.6563, Steps done w/o warmup: 37530, Epsilon: 78.97%, Codebook usage: 13 / 16, Transitions known: 26.32%, Usage penalty: 8.738582611083984, Entropy bonus: -0.378129243850708
Epoch: 15, Duration: 19.2345, Steps done w/o warmup: 40032, Epsilon: 77.75%, Codebook usage: 13 / 16, Transitions known: 28.07%, Usage penalty: 8.58684253692627, Entropy bonus: -0.38191312551498413
Epoch: 16, Duration: 17.2560, Steps done w/o warmup: 42534, Epsilon: 76.55%, Codebook usage: 13 / 16, Transitions known: 28.07%, Usage penalty: 8.688154220581055, Entropy bonus: -0.3868548572063446
