seeds: [862559, 454354, 737532, 275105, 523498], arguments: (env_name='space_invaders', lr=0.0002, epoch=1500, batch_size=32, eval_cycle=25, transitions=2500, episodes=2500, VQVAE_cycle=1, MDP_cycle=750, max_iterations=375, initial_iterations=12000, warmup=25000, min_visits=5, num_envs=6, debug=False)
Epoch: 0, Duration: 72.5063, Steps done w/o warmup: 2502, Epsilon: 98.43%, Codebook usage: 16 / 16, Transitions known: 0.65%, Usage penalty: 2.9958086013793945, Entropy bonus: -0.41529056429862976
Epoch: 1, Duration: 14.5190, Steps done w/o warmup: 5004, Epsilon: 96.89%, Codebook usage: 16 / 16, Transitions known: 0.76%, Usage penalty: 1.235907793045044, Entropy bonus: -0.421590656042099
Epoch: 2, Duration: 13.7885, Steps done w/o warmup: 7506, Epsilon: 95.37%, Codebook usage: 16 / 16, Transitions known: 0.76%, Usage penalty: 1.2881723642349243, Entropy bonus: -0.43573781847953796
Epoch: 3, Duration: 16.6045, Steps done w/o warmup: 10008, Epsilon: 93.87%, Codebook usage: 16 / 16, Transitions known: 0.98%, Usage penalty: 0.9655916690826416, Entropy bonus: -0.443589985370636
Epoch: 4, Duration: 16.3488, Steps done w/o warmup: 12510, Epsilon: 92.40%, Codebook usage: 16 / 16, Transitions known: 0.98%, Usage penalty: 1.0022201538085938, Entropy bonus: -0.44706636667251587
Epoch: 5, Duration: 17.6305, Steps done w/o warmup: 15012, Epsilon: 90.96%, Codebook usage: 16 / 16, Transitions known: 0.98%, Usage penalty: 0.7588838934898376, Entropy bonus: -0.47797200083732605
Epoch: 6, Duration: 16.6597, Steps done w/o warmup: 17514, Epsilon: 89.53%, Codebook usage: 16 / 16, Transitions known: 0.98%, Usage penalty: 0.8176077604293823, Entropy bonus: -0.47749772667884827
Epoch: 7, Duration: 18.0360, Steps done w/o warmup: 20016, Epsilon: 88.14%, Codebook usage: 16 / 16, Transitions known: 0.98%, Usage penalty: 0.8740190267562866, Entropy bonus: -0.47939401865005493
Epoch: 8, Duration: 15.9047, Steps done w/o warmup: 22518, Epsilon: 86.76%, Codebook usage: 16 / 16, Transitions known: 0.98%, Usage penalty: 0.8118694424629211, Entropy bonus: -0.4903019070625305
Epoch: 9, Duration: 17.0756, Steps done w/o warmup: 25020, Epsilon: 85.41%, Codebook usage: 16 / 16, Transitions known: 0.98%, Usage penalty: 0.81838059425354, Entropy bonus: -0.4919450879096985
Epoch: 10, Duration: 18.0614, Steps done w/o warmup: 27522, Epsilon: 84.08%, Codebook usage: 16 / 16, Transitions known: 0.98%, Usage penalty: 0.7393091917037964, Entropy bonus: -0.4957851469516754
Epoch: 11, Duration: 17.1007, Steps done w/o warmup: 30024, Epsilon: 82.77%, Codebook usage: 16 / 16, Transitions known: 0.98%, Usage penalty: 1.0066251754760742, Entropy bonus: -0.4868888556957245
Epoch: 12, Duration: 16.1783, Steps done w/o warmup: 32526, Epsilon: 81.48%, Codebook usage: 16 / 16, Transitions known: 0.97%, Usage penalty: 1.1352953910827637, Entropy bonus: -0.4833846688270569
Epoch: 13, Duration: 16.3959, Steps done w/o warmup: 35028, Epsilon: 80.22%, Codebook usage: 16 / 16, Transitions known: 0.97%, Usage penalty: 0.9055757522583008, Entropy bonus: -0.48959943652153015
Epoch: 14, Duration: 16.1741, Steps done w/o warmup: 37530, Epsilon: 78.97%, Codebook usage: 16 / 16, Transitions known: 0.97%, Usage penalty: 1.0062682628631592, Entropy bonus: -0.48620539903640747
Epoch: 15, Duration: 16.3789, Steps done w/o warmup: 40032, Epsilon: 77.75%, Codebook usage: 16 / 16, Transitions known: 0.97%, Usage penalty: 1.1990877389907837, Entropy bonus: -0.4829277992248535
